,saved_model,model,loss,accuracy,img_compression
21,InceptionV3_(2023-04-08)_0,InceptionV3,2.236571478843689,0.6884058117866516,6
22,InceptionV3_(2023-04-08)_0,InceptionV3,1.5221626996994018,0.7463768124580383,9
23,InceptionV3_(2023-04-08)_0,InceptionV3,1.5007379293441772,0.7463768124580383,11
24,InceptionV3_(2023-04-08)_0,InceptionV3,1.2093814134597778,0.7681159377098083,14
25,InceptionV3_(2023-04-08)_0,InceptionV3,1.1166515588760375,0.782608687877655,17
26,InceptionV3_(2023-04-08)_0,InceptionV3,1.0311721920967103,0.7971014380455017,20
27,InceptionV3_(2023-04-08)_0,InceptionV3,1.019221556186676,0.8115941882133484,22
28,InceptionV3_(2023-04-08)_0,InceptionV3,1.040340793132782,0.7971014380455017,25
29,InceptionV3_(2023-04-08)_0,InceptionV3,0.9614830732345581,0.804347813129425,28
30,InceptionV3_(2023-04-08)_0,InceptionV3,0.9209746301174164,0.8188405632972717,30
31,InceptionV3_(2023-04-08)_0,InceptionV3,0.9137182295322418,0.8115941882133484,33
32,InceptionV3_(2023-04-08)_0,InceptionV3,0.8860437214374542,0.804347813129425,36
33,InceptionV3_(2023-04-08)_0,InceptionV3,0.8463864326477051,0.8260869383811951,39
34,InceptionV3_(2023-04-08)_0,InceptionV3,0.8461518228054047,0.8188405632972717,41
35,InceptionV3_(2023-04-08)_0,InceptionV3,0.8074958205223084,0.8260869383811951,44
36,InceptionV3_(2023-04-08)_0,InceptionV3,0.8339814841747284,0.8333333134651184,47
37,InceptionV3_(2023-04-08)_0,InceptionV3,0.7983097493648529,0.8333333134651184,50
38,InceptionV3_(2023-04-08)_1,InceptionV3,2.9184216976165773,0.5362318754196167,1
39,InceptionV3_(2023-04-08)_1,InceptionV3,2.667151141166687,0.5652173757553101,3
40,InceptionV3_(2023-04-08)_1,InceptionV3,1.6588927507400513,0.7246376872062683,6
41,InceptionV3_(2023-04-08)_1,InceptionV3,0.9297120690345764,0.7753623127937317,9
42,InceptionV3_(2023-04-08)_1,InceptionV3,0.8815710723400116,0.7898550629615784,11
43,InceptionV3_(2023-04-08)_1,InceptionV3,0.8378146052360534,0.804347813129425,14
44,InceptionV3_(2023-04-08)_1,InceptionV3,0.7573856830596923,0.8115941882133484,17
45,InceptionV3_(2023-04-08)_1,InceptionV3,0.6567678391933441,0.8260869383811951,20
46,InceptionV3_(2023-04-08)_1,InceptionV3,0.6368393659591675,0.8333333134651184,22
47,InceptionV3_(2023-04-08)_1,InceptionV3,0.628609836101532,0.8333333134651184,25
48,InceptionV3_(2023-04-08)_1,InceptionV3,0.6303203165531158,0.8405796885490417,28
49,InceptionV3_(2023-04-08)_1,InceptionV3,0.7029922306537628,0.8260869383811951,30
50,InceptionV3_(2023-04-08)_1,InceptionV3,0.6699774026870727,0.8405796885490417,33
51,InceptionV3_(2023-04-08)_1,InceptionV3,0.6533527672290802,0.8478260636329651,36
52,InceptionV3_(2023-04-08)_1,InceptionV3,0.5956069111824036,0.8623188138008118,39
