,saved_model,model,loss,accuracy,gauss_blur
45,InceptionV3_(2023-04-08)_1,InceptionV3,3.0375919103622437,0.49275362491607666,15
46,InceptionV3_(2023-04-08)_1,InceptionV3,3.806645321846008,0.3333333432674408,17
47,InceptionV3_(2023-04-08)_1,InceptionV3,4.69044680595398,0.18115942180156708,19
48,InceptionV3_(2023-04-08)_1,InceptionV3,5.46707329750061,0.08695652335882187,21
49,InceptionV3_(2023-04-08)_1,InceptionV3,5.9912457942962645,0.07971014827489853,23
50,InceptionV3_(2023-04-08)_1,InceptionV3,6.327424383163452,0.06521739065647125,25
51,InceptionV3_(2023-04-08)_1,InceptionV3,6.539395570755005,0.036231882870197296,27
52,InceptionV3_(2023-04-08)_1,InceptionV3,6.665275239944458,0.028985507786273956,29
53,InceptionV3_(2023-04-08)_1,InceptionV3,6.735933828353882,0.021739130839705467,31
54,InceptionV3_(2023-04-08)_1,InceptionV3,6.768273115158081,0.021739130839705467,33
55,InceptionV3_(2023-04-08)_1,InceptionV3,6.7763063430786135,0.014492753893136978,35
56,InceptionV3_(2023-04-08)_1,InceptionV3,6.773727369308472,0.014492753893136978,37
57,MobileNet_(2023-03-23)_0,MobileNet,0.9792988061904907,0.8188405632972717,1
58,MobileNet_(2023-03-23)_0,MobileNet,1.0035735249519349,0.8115941882133484,3
59,MobileNet_(2023-03-23)_0,MobileNet,1.1471668601036071,0.7898550629615784,5
60,MobileNet_(2023-03-23)_0,MobileNet,1.5696798324584962,0.717391312122345,7
61,MobileNet_(2023-03-23)_0,MobileNet,2.47622435092926,0.6521739363670349,9
62,MobileNet_(2023-03-23)_0,MobileNet,3.4979261636734007,0.5144927501678467,11
63,MobileNet_(2023-03-23)_0,MobileNet,4.4513308048248295,0.43478259444236755,13
64,MobileNet_(2023-03-23)_0,MobileNet,5.262727212905884,0.28260868787765503,15
65,MobileNet_(2023-03-23)_0,MobileNet,6.052419900894165,0.15942029654979706,17
66,MobileNet_(2023-03-23)_0,MobileNet,6.681983375549317,0.10144927352666855,19
67,MobileNet_(2023-03-23)_0,MobileNet,7.057366609573364,0.08695652335882187,21
68,MobileNet_(2023-03-23)_0,MobileNet,7.245906734466553,0.08695652335882187,23
69,MobileNet_(2023-03-23)_0,MobileNet,7.291945314407348,0.08695652335882187,25
70,MobileNet_(2023-03-23)_0,MobileNet,7.255302286148071,0.08695652335882187,27
71,MobileNet_(2023-03-23)_0,MobileNet,7.170473241806031,0.07246376574039459,29
72,MobileNet_(2023-03-23)_0,MobileNet,7.059765338897705,0.07246376574039459,31
73,MobileNet_(2023-03-23)_0,MobileNet,6.934698534011841,0.07246376574039459,33
74,MobileNet_(2023-03-23)_0,MobileNet,6.805865716934204,0.06521739065647125,35
75,MobileNet_(2023-03-23)_0,MobileNet,6.688540410995484,0.043478261679410934,37
76,MobileNet_(2023-04-09)_0,MobileNet,0.5192028462886811,0.8695651888847351,1
77,MobileNet_(2023-04-09)_0,MobileNet,0.5571331918239594,0.8623188138008118,3
78,MobileNet_(2023-04-09)_0,MobileNet,0.6748238980770112,0.8405796885490417,5
79,MobileNet_(2023-04-09)_0,MobileNet,1.0059374928474427,0.7898550629615784,7
80,MobileNet_(2023-04-09)_0,MobileNet,1.3349886536598206,0.7246376872062683,9
81,MobileNet_(2023-04-09)_0,MobileNet,1.9084869623184204,0.6231883764266968,11
82,MobileNet_(2023-04-09)_0,MobileNet,2.761711096763611,0.5144927501678467,13
83,MobileNet_(2023-04-09)_0,MobileNet,4.0082310199737545,0.3913043439388275,15
84,MobileNet_(2023-04-09)_0,MobileNet,5.610004615783692,0.260869562625885,17
85,MobileNet_(2023-04-09)_0,MobileNet,7.199820041656494,0.1304347813129425,19
86,MobileNet_(2023-04-09)_0,MobileNet,8.555016136169433,0.11594203114509583,21
87,MobileNet_(2023-04-09)_0,MobileNet,9.581590270996093,0.07246376574039459,23
88,MobileNet_(2023-04-09)_0,MobileNet,10.501274585723877,0.050724636763334274,25
89,MobileNet_(2023-04-09)_0,MobileNet,11.188947486877442,0.050724636763334274,27
90,MobileNet_(2023-04-09)_0,MobileNet,11.749886226654052,0.043478261679410934,29
91,MobileNet_(2023-04-09)_0,MobileNet,12.322842407226563,0.028985507786273956,31
92,MobileNet_(2023-04-09)_0,MobileNet,12.90626049041748,0.021739130839705467,33
93,MobileNet_(2023-04-09)_0,MobileNet,13.495084476470947,0.007246376946568489,35
94,MobileNet_(2023-04-09)_0,MobileNet,14.105992317199707,0.007246376946568489,37
95,MobileNet_(2023-04-09)_1,MobileNet,0.5068575918674469,0.9130434989929199,1
96,MobileNet_(2023-04-09)_1,MobileNet,0.6064351916313171,0.8985507488250732,3
97,MobileNet_(2023-04-09)_1,MobileNet,0.7490779638290406,0.8840579986572266,5
98,MobileNet_(2023-04-09)_1,MobileNet,1.1864135265350342,0.8115941882133484,7
99,MobileNet_(2023-04-09)_1,MobileNet,1.8640997886657715,0.7028985619544983,9
100,MobileNet_(2023-04-09)_1,MobileNet,3.074579119682312,0.5797101259231567,11
101,MobileNet_(2023-04-09)_1,MobileNet,4.4510085105896,0.45652174949645996,13
102,MobileNet_(2023-04-09)_1,MobileNet,5.641033554077149,0.3188405930995941,15
103,MobileNet_(2023-04-09)_1,MobileNet,6.520569610595703,0.21739129722118378,17
104,MobileNet_(2023-04-09)_1,MobileNet,7.035057735443115,0.15217390656471252,19
105,MobileNet_(2023-04-09)_1,MobileNet,7.186085033416748,0.10869564861059189,21
106,MobileNet_(2023-04-09)_1,MobileNet,7.188412284851074,0.09420289844274521,23
107,MobileNet_(2023-04-09)_1,MobileNet,7.154772424697876,0.08695652335882187,25
108,MobileNet_(2023-04-09)_1,MobileNet,7.1150257110595705,0.08695652335882187,27
109,MobileNet_(2023-04-09)_1,MobileNet,7.081999397277832,0.08695652335882187,29
110,MobileNet_(2023-04-09)_1,MobileNet,7.05684380531311,0.08695652335882187,31
111,MobileNet_(2023-04-09)_1,MobileNet,7.03453049659729,0.08695652335882187,33
112,MobileNet_(2023-04-09)_1,MobileNet,7.018783903121948,0.07246376574039459,35
113,MobileNet_(2023-04-09)_1,MobileNet,6.997743320465088,0.07246376574039459,37
114,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.7804207921028137,0.760869562625885,1
115,ResNet50v2_(2023-03-25)_0,ResNet50v2,2.0031575679779055,0.7101449370384216,3
116,ResNet50v2_(2023-03-25)_0,ResNet50v2,2.286907362937927,0.6811594367027283,5
117,ResNet50v2_(2023-03-25)_0,ResNet50v2,2.8954257726669312,0.6811594367027283,7
118,ResNet50v2_(2023-03-25)_0,ResNet50v2,3.502638268470764,0.6739130616188049,9
119,ResNet50v2_(2023-03-25)_0,ResNet50v2,4.286826658248901,0.6086956262588501,11
120,ResNet50v2_(2023-03-25)_0,ResNet50v2,5.393270349502563,0.5362318754196167,13
121,ResNet50v2_(2023-03-25)_0,ResNet50v2,6.744342613220215,0.4057970941066742,15
122,ResNet50v2_(2023-03-25)_0,ResNet50v2,8.445051002502442,0.28985506296157837,17
123,ResNet50v2_(2023-03-25)_0,ResNet50v2,10.441166210174561,0.15217390656471252,19
124,ResNet50v2_(2023-03-25)_0,ResNet50v2,12.443161296844483,0.07971014827489853,21
125,ResNet50v2_(2023-03-25)_0,ResNet50v2,14.255744361877442,0.050724636763334274,23
126,ResNet50v2_(2023-03-25)_0,ResNet50v2,15.703156471252441,0.021739130839705467,25
127,ResNet50v2_(2023-03-25)_0,ResNet50v2,16.785786819458007,0.007246376946568489,27
128,ResNet50v2_(2023-03-25)_0,ResNet50v2,17.581016731262206,0.0,29
129,ResNet50v2_(2023-03-25)_0,ResNet50v2,18.111223793029787,0.0,31
