,saved_model,model,loss,accuracy,guass_noise
53,InceptionV3_(2023-04-08)_1,InceptionV3,53.617013931274414,0.0,1.4677992676220706
54,InceptionV3_(2023-04-08)_1,InceptionV3,54.312600708007814,0.0,2.782559402207126
55,InceptionV3_(2023-04-08)_1,InceptionV3,54.77294921875,0.0,5.27499706370262
56,InceptionV3_(2023-04-08)_1,InceptionV3,55.13480339050293,0.0,10.0
57,MobileNet_(2023-03-23)_0,MobileNet,0.9860353887081146,0.821739113330841,0.0001
58,MobileNet_(2023-03-23)_0,MobileNet,0.9932969152927399,0.8202898383140564,0.00018957356524063754
59,MobileNet_(2023-03-23)_0,MobileNet,0.992051613330841,0.8152173757553101,0.00035938136638046257
60,MobileNet_(2023-03-23)_0,MobileNet,0.9662869930267334,0.8144927382469177,0.0006812920690579615
61,MobileNet_(2023-03-23)_0,MobileNet,0.9834639310836792,0.8057970881462098,0.001291549665014884
62,MobileNet_(2023-03-23)_0,MobileNet,0.968289566040039,0.782608687877655,0.002448436746822227
63,MobileNet_(2023-03-23)_0,MobileNet,1.202755379676819,0.7340579748153686,0.004641588833612782
64,MobileNet_(2023-03-23)_0,MobileNet,1.6577799797058106,0.6659420490264892,0.008799225435691074
65,MobileNet_(2023-03-23)_0,MobileNet,2.175465631484985,0.6079710006713868,0.016681005372000592
66,MobileNet_(2023-03-23)_0,MobileNet,2.7543670654296877,0.504347825050354,0.03162277660168379
67,MobileNet_(2023-03-23)_0,MobileNet,3.8642337799072264,0.24492753595113753,0.05994842503189409
68,MobileNet_(2023-03-23)_0,MobileNet,5.184069299697876,0.012318840809166431,0.11364636663857254
69,MobileNet_(2023-03-23)_0,MobileNet,5.799115991592407,0.0,0.21544346900318845
70,MobileNet_(2023-03-23)_0,MobileNet,5.873499155044556,0.0,0.40842386526745217
71,MobileNet_(2023-03-23)_0,MobileNet,5.938930797576904,0.0,0.7742636826811278
72,MobileNet_(2023-03-23)_0,MobileNet,5.974643802642822,0.0,1.4677992676220706
73,MobileNet_(2023-03-23)_0,MobileNet,6.019464111328125,0.0,2.782559402207126
74,MobileNet_(2023-03-23)_0,MobileNet,6.025399255752563,0.0,5.27499706370262
75,MobileNet_(2023-03-23)_0,MobileNet,6.054507064819336,0.0,10.0
76,MobileNet_(2023-04-09)_0,MobileNet,0.5487033307552338,0.8601449012756348,0.0001
77,MobileNet_(2023-04-09)_0,MobileNet,0.5589282512664795,0.860869538784027,0.00018957356524063754
78,MobileNet_(2023-04-09)_0,MobileNet,0.5691367268562317,0.8615941882133484,0.00035938136638046257
79,MobileNet_(2023-04-09)_0,MobileNet,0.6177335739135742,0.8579709887504577,0.0006812920690579615
80,MobileNet_(2023-04-09)_0,MobileNet,0.6715304851531982,0.849999976158142,0.001291549665014884
81,MobileNet_(2023-04-09)_0,MobileNet,0.8407486259937287,0.8231883883476258,0.002448436746822227
82,MobileNet_(2023-04-09)_0,MobileNet,1.0993599534034728,0.7862318754196167,0.004641588833612782
83,MobileNet_(2023-04-09)_0,MobileNet,1.4721011877059937,0.7195652246475219,0.008799225435691074
84,MobileNet_(2023-04-09)_0,MobileNet,2.090189719200134,0.6384058237075806,0.016681005372000592
85,MobileNet_(2023-04-09)_0,MobileNet,3.379967737197876,0.4550724685192108,0.03162277660168379
86,MobileNet_(2023-04-09)_0,MobileNet,6.151127004623413,0.16594203114509581,0.05994842503189409
87,MobileNet_(2023-04-09)_0,MobileNet,10.584075260162354,0.017391304671764373,0.11364636663857254
88,MobileNet_(2023-04-09)_0,MobileNet,16.563972091674806,0.0,0.21544346900318845
89,MobileNet_(2023-04-09)_0,MobileNet,22.863319969177248,0.0,0.40842386526745217
90,MobileNet_(2023-04-09)_0,MobileNet,27.34667053222656,0.0,0.7742636826811278
91,MobileNet_(2023-04-09)_0,MobileNet,29.54467029571533,0.0,1.4677992676220706
