,saved_model,model,loss,accuracy,brightness
48,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.4461392998695373,0.8478261232376099,0.09999999999999976
49,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.3462991118431091,0.8405797481536865,0.19999999999999962
50,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.6604016184806825,0.8405797481536865,0.2999999999999997
51,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,1.9875346660614013,0.8333333730697632,0.3999999999999998
52,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,2.2591091871261595,0.7971014380455017,0.49999999999999967
53,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,2.461066961288452,0.7536231875419617,0.5999999999999995
54,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,3.5411340475082396,0.5579710006713867,0.6999999999999996
55,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,6.544120264053345,0.26811593770980835,0.7999999999999997
56,InceptionV3_aug100_(2023-05-14)_0,InceptionV3,13.719508457183839,0.007246376946568489,0.8999999999999996
57,MobileNet_aug100_(2023-05-17)_0,MobileNet,6.569820737838745,0.3840579688549042,-0.9
58,MobileNet_aug100_(2023-05-17)_0,MobileNet,3.806939458847046,0.5579710006713867,-0.8
59,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.814239501953125,0.6594203114509583,-0.7000000000000001
60,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.2980408906936645,0.6666666865348816,-0.6000000000000001
61,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.0691283702850343,0.7246376872062683,-0.5000000000000001
62,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.021847939491272,0.7753623127937317,-0.40000000000000013
63,MobileNet_aug100_(2023-05-17)_0,MobileNet,2.0877339601516725,0.7753623127937317,-0.30000000000000016
64,MobileNet_aug100_(2023-05-17)_0,MobileNet,1.9172685861587524,0.8333333730697632,-0.20000000000000018
65,MobileNet_aug100_(2023-05-17)_0,MobileNet,1.8973282337188722,0.8478261232376099,-0.1000000000000002
66,MobileNet_aug100_(2023-05-17)_0,MobileNet,1.864621901512146,0.8260869979858398,-2.220446049250313e-16
67,MobileNet_aug100_(2023-05-17)_0,MobileNet,1.8414950847625733,0.8260869979858398,0.09999999999999976
68,MobileNet_aug100_(2023-05-17)_0,MobileNet,1.721656858921051,0.7971014380455017,0.19999999999999962
