,saved_model,model,loss,accuracy,contrast
51,InceptionV3_(2023-04-08)_1,InceptionV3,0.9427417874336242,0.8405796885490417,0.3999999999999998
52,InceptionV3_(2023-04-08)_1,InceptionV3,1.1563586115837097,0.8333333134651184,0.49999999999999967
53,InceptionV3_(2023-04-08)_1,InceptionV3,1.3672450065612793,0.8115941882133484,0.5999999999999995
54,InceptionV3_(2023-04-08)_1,InceptionV3,1.5082803606986999,0.7898550629615784,0.6999999999999996
55,InceptionV3_(2023-04-08)_1,InceptionV3,1.6750781059265136,0.782608687877655,0.7999999999999997
56,InceptionV3_(2023-04-08)_1,InceptionV3,1.8202006936073303,0.7463768124580383,0.8999999999999996
57,MobileNet_(2023-03-23)_0,MobileNet,6.18404803276062,0.08695652335882187,-0.9
58,MobileNet_(2023-03-23)_0,MobileNet,3.0876784563064574,0.4492753744125366,-0.8
59,MobileNet_(2023-03-23)_0,MobileNet,1.7740166187286377,0.6666666865348816,-0.7000000000000001
60,MobileNet_(2023-03-23)_0,MobileNet,1.3268077373504639,0.7318840622901917,-0.6000000000000001
61,MobileNet_(2023-03-23)_0,MobileNet,1.0937016129493713,0.7753623127937317,-0.5000000000000001
62,MobileNet_(2023-03-23)_0,MobileNet,0.9538896679878235,0.8115941882133484,-0.40000000000000013
63,MobileNet_(2023-03-23)_0,MobileNet,0.9043255150318146,0.8188405632972717,-0.30000000000000016
64,MobileNet_(2023-03-23)_0,MobileNet,0.892706835269928,0.8333333134651184,-0.20000000000000018
65,MobileNet_(2023-03-23)_0,MobileNet,0.9174890577793121,0.8333333134651184,-0.1000000000000002
66,MobileNet_(2023-03-23)_0,MobileNet,0.9792987823486328,0.8188405632972717,-2.220446049250313e-16
67,MobileNet_(2023-03-23)_0,MobileNet,1.0773066401481628,0.8260869383811951,0.09999999999999976
68,MobileNet_(2023-03-23)_0,MobileNet,1.14244704246521,0.8115941882133484,0.19999999999999962
69,MobileNet_(2023-03-23)_0,MobileNet,1.2649525165557862,0.7898550629615784,0.2999999999999997
70,MobileNet_(2023-03-23)_0,MobileNet,1.4686145782470703,0.782608687877655,0.3999999999999998
71,MobileNet_(2023-03-23)_0,MobileNet,1.6451120495796203,0.760869562625885,0.49999999999999967
72,MobileNet_(2023-03-23)_0,MobileNet,1.9682776927947998,0.739130437374115,0.5999999999999995
73,MobileNet_(2023-03-23)_0,MobileNet,2.347837948799133,0.717391312122345,0.6999999999999996
74,MobileNet_(2023-03-23)_0,MobileNet,2.6394103527069093,0.6811594367027283,0.7999999999999997
75,MobileNet_(2023-03-23)_0,MobileNet,2.918124794960022,0.6666666865348816,0.8999999999999996
