,saved_model,model,loss,accuracy,rotation
95,MobileNet_(2023-04-09)_1,MobileNet,0.5068568527698517,0.9130434989929199,0
96,MobileNet_(2023-04-09)_1,MobileNet,0.49270259141921996,0.9057971239089966,18
97,MobileNet_(2023-04-09)_1,MobileNet,0.3223643332719803,0.9275362491607666,37
98,MobileNet_(2023-04-09)_1,MobileNet,0.4320277750492096,0.9057971239089966,56
99,MobileNet_(2023-04-09)_1,MobileNet,0.9375353813171386,0.8188406229019165,75
100,MobileNet_(2023-04-09)_1,MobileNet,1.3759174585342406,0.782608687877655,94
101,MobileNet_(2023-04-09)_1,MobileNet,1.633208155632019,0.717391312122345,113
102,MobileNet_(2023-04-09)_1,MobileNet,1.7811815023422242,0.717391312122345,132
103,MobileNet_(2023-04-09)_1,MobileNet,1.9299408316612243,0.717391312122345,151
104,MobileNet_(2023-04-09)_1,MobileNet,1.7350728869438172,0.6666666865348816,170
105,MobileNet_(2023-04-09)_1,MobileNet,1.5908275365829467,0.6666666865348816,189
106,MobileNet_(2023-04-09)_1,MobileNet,1.2752982139587403,0.7028985619544983,208
107,MobileNet_(2023-04-09)_1,MobileNet,1.1374395132064818,0.7971014380455017,227
108,MobileNet_(2023-04-09)_1,MobileNet,1.2256701588630676,0.7536231875419617,246
109,MobileNet_(2023-04-09)_1,MobileNet,0.9841316282749176,0.8115942478179932,265
110,MobileNet_(2023-04-09)_1,MobileNet,1.0375728130340576,0.8333333730697632,284
111,MobileNet_(2023-04-09)_1,MobileNet,0.8509498715400696,0.8188406229019165,303
112,MobileNet_(2023-04-09)_1,MobileNet,0.6929293394088745,0.8768116235733032,322
113,MobileNet_(2023-04-09)_1,MobileNet,0.6256439626216889,0.9202898740768433,341
114,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.7804206728935241,0.760869562625885,0
115,ResNet50v2_(2023-03-25)_0,ResNet50v2,1.7645764231681824,0.7753623127937317,18
116,ResNet50v2_(2023-03-25)_0,ResNet50v2,2.059494376182556,0.7463768124580383,37
117,ResNet50v2_(2023-03-25)_0,ResNet50v2,2.511144733428955,0.695652186870575,56
118,ResNet50v2_(2023-03-25)_0,ResNet50v2,2.7423232555389405,0.695652186870575,75
119,ResNet50v2_(2023-03-25)_0,ResNet50v2,2.7861817359924315,0.6159420609474182,94
120,ResNet50v2_(2023-03-25)_0,ResNet50v2,3.9877905368804933,0.47101449966430664,113
121,ResNet50v2_(2023-03-25)_0,ResNet50v2,3.772579622268677,0.5072463750839233,132
122,ResNet50v2_(2023-03-25)_0,ResNet50v2,3.745366430282593,0.4492753744125366,151
123,ResNet50v2_(2023-03-25)_0,ResNet50v2,3.941015863418579,0.47826087474823,170
124,ResNet50v2_(2023-03-25)_0,ResNet50v2,4.26181993484497,0.5,189
125,ResNet50v2_(2023-03-25)_0,ResNet50v2,4.109317588806152,0.5362318754196167,208
126,ResNet50v2_(2023-03-25)_0,ResNet50v2,4.0276792526245115,0.52173912525177,227
127,ResNet50v2_(2023-03-25)_0,ResNet50v2,3.415563440322876,0.6304348111152649,246
128,ResNet50v2_(2023-03-25)_0,ResNet50v2,3.5646995067596436,0.6231884360313416,265
129,ResNet50v2_(2023-03-25)_0,ResNet50v2,3.2091603755950926,0.6739130616188049,284
130,ResNet50v2_(2023-03-25)_0,ResNet50v2,3.185274052619934,0.7028985619544983,303
131,ResNet50v2_(2023-03-25)_0,ResNet50v2,3.1563042402267456,0.695652186870575,322
132,ResNet50v2_(2023-03-25)_0,ResNet50v2,2.226796364784241,0.760869562625885,341
133,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.05243718624115,0.782608687877655,0
134,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.3097367525100707,0.7681159377098083,18
135,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.208805251121521,0.7681159377098083,37
136,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.228959846496582,0.7536231875419617,56
137,ResNet50v2_(2023-04-09)_0,ResNet50v2,2.643331027030945,0.6521739363670349,75
