,saved_model,model,loss,accuracy,img_compression
64,MobileNet_(2023-03-23)_0,MobileNet,2.063913369178772,0.6304348111152649,8
65,MobileNet_(2023-03-23)_0,MobileNet,1.860591721534729,0.6449275612831116,9
66,MobileNet_(2023-03-23)_0,MobileNet,1.8589860916137695,0.717391312122345,10
67,MobileNet_(2023-03-23)_0,MobileNet,1.5980029582977295,0.7463768124580383,13
68,MobileNet_(2023-03-23)_0,MobileNet,1.480849289894104,0.7681159377098083,17
69,MobileNet_(2023-03-23)_0,MobileNet,1.3580866694450378,0.7898550629615784,22
70,MobileNet_(2023-03-23)_0,MobileNet,1.3146991848945617,0.7971014380455017,28
71,MobileNet_(2023-03-23)_0,MobileNet,1.2012779474258424,0.8115941882133484,36
72,MobileNet_(2023-03-23)_0,MobileNet,1.1250586271286012,0.8115941882133484,46
73,MobileNet_(2023-03-23)_0,MobileNet,1.1230185508728028,0.8188405632972717,60
74,MobileNet_(2023-03-23)_0,MobileNet,1.0712006092071533,0.8115941882133484,78
75,MobileNet_(2023-03-23)_0,MobileNet,0.9489129424095154,0.8188405632972717,100
76,MobileNet_(2023-04-09)_0,MobileNet,4.139761447906494,0.4057970941066742,1
77,MobileNet_(2023-04-09)_0,MobileNet,4.120168876647949,0.4057970941066742,2
78,MobileNet_(2023-04-09)_0,MobileNet,4.051485967636109,0.43478259444236755,3
79,MobileNet_(2023-04-09)_0,MobileNet,3.6228824138641356,0.4637681245803833,4
80,MobileNet_(2023-04-09)_0,MobileNet,3.1044931411743164,0.5144927501678467,5
81,MobileNet_(2023-04-09)_0,MobileNet,2.7687346935272217,0.54347825050354,6
82,MobileNet_(2023-04-09)_0,MobileNet,2.251527523994446,0.6086956262588501,7
83,MobileNet_(2023-04-09)_0,MobileNet,1.9579787254333496,0.6594203114509583,8
84,MobileNet_(2023-04-09)_0,MobileNet,1.7574317455291748,0.6449275612831116,9
85,MobileNet_(2023-04-09)_0,MobileNet,1.7780412435531616,0.6666666865348816,10
86,MobileNet_(2023-04-09)_0,MobileNet,1.3686243176460267,0.739130437374115,13
87,MobileNet_(2023-04-09)_0,MobileNet,1.122394609451294,0.7318840622901917,17
88,MobileNet_(2023-04-09)_0,MobileNet,0.9637794733047486,0.760869562625885,22
89,MobileNet_(2023-04-09)_0,MobileNet,0.9774491310119628,0.7753623127937317,28
90,MobileNet_(2023-04-09)_0,MobileNet,0.832793128490448,0.7971014380455017,36
91,MobileNet_(2023-04-09)_0,MobileNet,0.8010050058364868,0.782608687877655,46
92,MobileNet_(2023-04-09)_0,MobileNet,0.7094418406486511,0.8115941882133484,60
93,MobileNet_(2023-04-09)_0,MobileNet,0.6402991235256195,0.8478260636329651,78
94,MobileNet_(2023-04-09)_0,MobileNet,0.5362179994583129,0.8695651888847351,100
95,MobileNet_(2023-04-09)_1,MobileNet,6.283239459991455,0.37681159377098083,1
96,MobileNet_(2023-04-09)_1,MobileNet,6.33051381111145,0.3695652186870575,2
97,MobileNet_(2023-04-09)_1,MobileNet,5.686257457733154,0.4202898442745209,3
98,MobileNet_(2023-04-09)_1,MobileNet,3.848293161392212,0.5289855003356934,4
99,MobileNet_(2023-04-09)_1,MobileNet,2.816187310218811,0.6304348111152649,5
100,MobileNet_(2023-04-09)_1,MobileNet,2.3418842792510985,0.695652186870575,6
101,MobileNet_(2023-04-09)_1,MobileNet,1.6334243893623352,0.739130437374115,7
102,MobileNet_(2023-04-09)_1,MobileNet,1.5231862545013428,0.760869562625885,8
103,MobileNet_(2023-04-09)_1,MobileNet,1.2216484069824218,0.8115941882133484,9
104,MobileNet_(2023-04-09)_1,MobileNet,1.2078903436660766,0.782608687877655,10
105,MobileNet_(2023-04-09)_1,MobileNet,0.8073122382164002,0.8405796885490417,13
106,MobileNet_(2023-04-09)_1,MobileNet,0.8029170334339142,0.8550724387168884,17
107,MobileNet_(2023-04-09)_1,MobileNet,0.6603474318981171,0.8695651888847351,22
108,MobileNet_(2023-04-09)_1,MobileNet,0.6369265139102935,0.8550724387168884,28
109,MobileNet_(2023-04-09)_1,MobileNet,0.7233778178691864,0.8695651888847351,36
110,MobileNet_(2023-04-09)_1,MobileNet,0.605493700504303,0.8840579986572266,46
111,MobileNet_(2023-04-09)_1,MobileNet,0.533944433927536,0.8913043737411499,60
112,MobileNet_(2023-04-09)_1,MobileNet,0.4747027188539505,0.8913043737411499,78
113,MobileNet_(2023-04-09)_1,MobileNet,0.5243995249271393,0.8985507488250732,100
114,ResNet50v2_(2023-03-25)_0,ResNet50v2,7.654739475250244,0.3840579688549042,1
115,ResNet50v2_(2023-03-25)_0,ResNet50v2,7.631271171569824,0.3840579688549042,2
116,ResNet50v2_(2023-03-25)_0,ResNet50v2,6.864835023880005,0.3913043439388275,3
117,ResNet50v2_(2023-03-25)_0,ResNet50v2,4.8387682914733885,0.4637681245803833,4
