,saved_model,model,loss,accuracy,gamma
52,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,3.8144463777542112,0.49275362491607666,12.915496650148828
53,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,5.427946424484253,0.3188405930995941,21.544346900318825
54,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,7.5797755241394045,0.21014493703842163,35.93813663804626
55,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,9.246110916137695,0.1666666716337204,59.94842503189408
56,InceptionV3_aug20_(2023-05-15)_0,InceptionV3,10.418594551086425,0.10869565606117249,100.0
57,MobileNet_aug20_(2023-05-15)_0,MobileNet,14.206586933135986,0.0,0.01
58,MobileNet_aug20_(2023-05-15)_0,MobileNet,13.537933444976806,0.0,0.01668100537200059
59,MobileNet_aug20_(2023-05-15)_0,MobileNet,10.731366825103759,0.08695652335882187,0.027825594022071246
60,MobileNet_aug20_(2023-05-15)_0,MobileNet,5.576252412796021,0.32608696818351746,0.04641588833612778
61,MobileNet_aug20_(2023-05-15)_0,MobileNet,2.83889479637146,0.52173912525177,0.0774263682681127
62,MobileNet_aug20_(2023-05-15)_0,MobileNet,1.8467015147209167,0.6884058117866516,0.12915496650148842
63,MobileNet_aug20_(2023-05-15)_0,MobileNet,1.487154769897461,0.7753623127937317,0.2154434690031883
64,MobileNet_aug20_(2023-05-15)_0,MobileNet,1.2706806063652039,0.804347813129425,0.3593813663804626
65,MobileNet_aug20_(2023-05-15)_0,MobileNet,1.1071253776550294,0.8405797481536865,0.5994842503189409
66,MobileNet_aug20_(2023-05-15)_0,MobileNet,1.0574007153511047,0.8405797481536865,1.0
67,MobileNet_aug20_(2023-05-15)_0,MobileNet,1.1429080486297607,0.804347813129425,1.6681005372000592
68,MobileNet_aug20_(2023-05-15)_0,MobileNet,1.4105632901191711,0.739130437374115,2.782559402207123
69,MobileNet_aug20_(2023-05-15)_0,MobileNet,1.8641686677932738,0.7028985619544983,4.6415888336127775
70,MobileNet_aug20_(2023-05-15)_0,MobileNet,3.1818245887756347,0.5362318754196167,7.742636826811269
71,MobileNet_aug20_(2023-05-15)_0,MobileNet,5.075372266769409,0.3840579688549042,12.915496650148828
72,MobileNet_aug20_(2023-05-15)_0,MobileNet,7.154484033584595,0.30434784293174744,21.544346900318825
73,MobileNet_aug20_(2023-05-15)_0,MobileNet,8.120014858245849,0.15942029654979706,35.93813663804626
74,MobileNet_aug20_(2023-05-15)_0,MobileNet,9.248016166687012,0.09420289844274521,59.94842503189408
75,MobileNet_aug20_(2023-05-15)_0,MobileNet,9.978524112701416,0.021739130839705467,100.0
76,MobileNet_aug20_(2023-05-18)_0,MobileNet,20.819203758239745,0.007246376946568489,0.01
77,MobileNet_aug20_(2023-05-18)_0,MobileNet,18.485100936889648,0.014492753893136978,0.01668100537200059
78,MobileNet_aug20_(2023-05-18)_0,MobileNet,12.94635066986084,0.028985507786273956,0.027825594022071246
79,MobileNet_aug20_(2023-05-18)_0,MobileNet,8.180771636962891,0.21739131212234497,0.04641588833612778
80,MobileNet_aug20_(2023-05-18)_0,MobileNet,4.350736093521118,0.39855071902275085,0.0774263682681127
81,MobileNet_aug20_(2023-05-18)_0,MobileNet,2.1296863555908203,0.5942029356956482,0.12915496650148842
82,MobileNet_aug20_(2023-05-18)_0,MobileNet,1.131707739830017,0.7318840622901917,0.2154434690031883
83,MobileNet_aug20_(2023-05-18)_0,MobileNet,0.8598347306251526,0.7971014380455017,0.3593813663804626
84,MobileNet_aug20_(2023-05-18)_0,MobileNet,0.8074357986450196,0.804347813129425,0.5994842503189409
85,MobileNet_aug20_(2023-05-18)_0,MobileNet,0.7951554596424103,0.8188406229019165,1.0
86,MobileNet_aug20_(2023-05-18)_0,MobileNet,0.9135561943054199,0.782608687877655,1.6681005372000592
